timestamp,market_id,yes_price,fair_value,outcome,liquidity,next_yes_price
2026-07-29T00:00:00Z,m_wave,0.48,0.5956,0,80,0.49
2026-07-29T00:00:00Z,m_flat,0.5,0.53,0,40,0.5
2026-07-29T00:00:00Z,m_spike,0.52,0.54,1,30,0.535
2026-07-29T01:00:00Z,m_wave,0.5138,0.6053,1,90,0.5238
2026-07-29T01:00:00Z,m_flat,0.5096,0.5396,0,40,0.5096
2026-07-29T01:00:00Z,m_spike,0.5284,0.5484,1,30,0.5434
2026-07-29T02:00:00Z,m_wave,0.5449,0.613,1,100,0.5549
2026-07-29T02:00:00Z,m_flat,0.5168,0.5468,0,40,0.5168
2026-07-29T02:00:00Z,m_spike,0.5291,0.5491,1,30,0.5441
2026-07-29T03:00:00Z,m_wave,0.5707,0.618,1,110,0.5807
2026-07-29T03:00:00Z,m_flat,0.5199,0.5499,0,40,0.5199
2026-07-29T03:00:00Z,m_spike,0.5214,0.5414,1,30,0.5364
2026-07-29T04:00:00Z,m_wave,0.5892,0.62,1,120,0.5992
2026-07-29T04:00:00Z,m_flat,0.5182,0.5482,0,40,0.5182
2026-07-29T04:00:00Z,m_spike,0.5124,0.5324,1,30,0.5274
2026-07-29T05:00:00Z,m_wave,0.5988,0.6187,0,80,0.6088
2026-07-29T05:00:00Z,m_flat,0.512,0.542,0,40,0.512
2026-07-29T05:00:00Z,m_spike,0.5104,0.5304,1,30,0.5254
2026-07-29T06:00:00Z,m_wave,0.5988,0.6142,1,90,0.6088
2026-07-29T06:00:00Z,m_flat,0.5028,0.5328,0,40,0.5028
2026-07-29T06:00:00Z,m_spike,0.5172,0.5372,1,30,0.5322
2026-07-29T07:00:00Z,m_wave,0.5891,0.607,1,100,0.5991
2026-07-29T07:00:00Z,m_flat,0.493,0.523,0,40,0.493
2026-07-29T07:00:00Z,m_spike,0.5266,0.5466,1,30,0.5416
2026-07-29T08:00:00Z,m_wave,0.5706,0.5976,1,110,0.5806
2026-07-29T08:00:00Z,m_flat,0.4849,0.5149,0,40,0.4849
2026-07-29T08:00:00Z,m_spike,0.35,0.55,1,120,0.365
2026-07-29T09:00:00Z,m_wave,0.5448,0.5868,1,120,0.5548
2026-07-29T09:00:00Z,m_flat,0.4804,0.5104,0,40,0.4804
2026-07-29T09:00:00Z,m_spike,0.36,0.55,1,120,0.375
2026-07-29T10:00:00Z,m_wave,0.5137,0.5754,0,80,0.5237
2026-07-29T10:00:00Z,m_flat,0.4808,0.5108,0,40,0.4808
2026-07-29T10:00:00Z,m_spike,0.37,0.55,1,120,0.385
2026-07-29T11:00:00Z,m_wave,0.4798,0.5644,1,90,0.4898
2026-07-29T11:00:00Z,m_flat,0.4859,0.5159,0,40,0.4859
2026-07-29T11:00:00Z,m_spike,0.38,0.55,1,120,0.395
2026-07-29T12:00:00Z,m_wave,0.446,0.5546,1,100,0.456
2026-07-29T12:00:00Z,m_flat,0.4944,0.5244,0,40,0.4944
2026-07-29T12:00:00Z,m_spike,0.39,0.55,1,120,0.405
2026-07-29T13:00:00Z,m_wave,0.415,0.5469,1,110,0.425
2026-07-29T13:00:00Z,m_flat,0.5043,0.5343,0,40,0.5043
2026-07-29T13:00:00Z,m_spike,0.4,0.55,1,120,0.415
2026-07-29T14:00:00Z,m_wave,0.3892,0.5419,1,120,0.3992
2026-07-29T14:00:00Z,m_flat,0.5131,0.5431,0,40,0.5131
2026-07-29T14:00:00Z,m_spike,0.41,0.55,1,120,0.425
2026-07-29T15:00:00Z,m_wave,0.3708,0.54,0,80,0.3808
2026-07-29T15:00:00Z,m_flat,0.5188,0.5488,0,40,0.5188
2026-07-29T15:00:00Z,m_spike,0.5265,0.5465,1,30,0.5415
2026-07-29T16:00:00Z,m_wave,0.3612,0.5413,1,90,0.3712
2026-07-29T16:00:00Z,m_flat,0.5198,0.5498,0,40,0.5198
2026-07-29T16:00:00Z,m_spike,0.5171,0.5371,1,30,0.5321
2026-07-29T17:00:00Z,m_wave,0.3613,0.5458,1,100,0.3713
2026-07-29T17:00:00Z,m_flat,0.516,0.546,0,40,0.516
2026-07-29T17:00:00Z,m_spike,0.5104,0.5304,1,30,0.5254
2026-07-29T18:00:00Z,m_wave,0.3709,0.553,1,110,0.3809
2026-07-29T18:00:00Z,m_flat,0.5082,0.5382,0,40,0.5082
2026-07-29T18:00:00Z,m_spike,0.5125,0.5325,1,30,0.5275
2026-07-29T19:00:00Z,m_wave,0.3895,0.5624,1,120,0.3995
2026-07-29T19:00:00Z,m_flat,0.4985,0.5285,0,40,0.4985
2026-07-29T19:00:00Z,m_spike,0.5215,0.5415,1,30,0.5365
2026-07-29T20:00:00Z,m_wave,0.4154,0.5733,0,80,0.4254
2026-07-29T20:00:00Z,m_flat,0.4891,0.5191,0,40,0.4891
2026-07-29T20:00:00Z,m_spike,0.5291,0.5491,1,30,0.5441
2026-07-29T21:00:00Z,m_wave,0.4465,0.5847,1,90,0.4565
2026-07-29T21:00:00Z,m_flat,0.4824,0.5124,0,40,0.4824
2026-07-29T21:00:00Z,m_spike,0.5284,0.5484,1,30,0.5434
2026-07-29T22:00:00Z,m_wave,0.4803,0.5957,1,100,0.4903
2026-07-29T22:00:00Z,m_flat,0.48,0.51,0,40,0.48
2026-07-29T22:00:00Z,m_spike,0.5199,0.5399,1,30,0.5349
2026-07-29T23:00:00Z,m_wave,0.5141,0.6054,1,110,0.5241
2026-07-29T23:00:00Z,m_flat,0.4825,0.5125,0,40,0.4825
2026-07-29T23:00:00Z,m_spike,0.5115,0.5315,1,30,0.5265
